原省份,原始分,百分位(%),对应山西分,Delta
浙江2025,668,2.333326101577246,619.0514815156314,-48.948518484368606
浙江2025,663,3.1799839455014864,612.529816491045,-50.47018350895496
浙江2025,658,4.209424424533009,605.7186925527376,-52.28130744726241
浙江2025,653,5.38259605580023,599.7127308436808,-53.28726915631921
浙江2025,648,6.675634044214957,594.1354920550651,-53.86450794493487
浙江2025,643,8.154708957976267,588.5864177294567,-54.413582270543316
浙江2025,638,9.8355498665741,582.8074505744415,-55.19254942555847
浙江2025,633,11.743106328509752,577.185561127066,-55.81443887293403
浙江2025,628,13.757511986635715,571.6292389963704,-56.37076100362958
浙江2025,623,15.989412709088146,565.8022630087163,-57.197736991283705
浙江2025,618,18.400841776408566,559.9136480864773,-58.08635191352266
浙江2025,613,21.050376412904345,554.5577802245219,-58.442219775478065
浙江2025,608,23.83333694921138,549.2187583921625,-58.7812416078375
浙江2025,603,26.683552817130586,543.8626247170916,-59.13737528290835
浙江2025,598,29.682381272644438,538.8138203713021,-59.186179628697914
浙江2025,593,32.766906037793156,533.5477595791455,-59.45224042085454
浙江2025,588,35.984314321046575,528.4234718327051,-59.576528167294896
浙江2025,583,39.29013082246762,523.6226574913973,-59.37734250860274
浙江2025,578,42.59377779706246,518.8985853202018,-59.101414679798154
浙江2025,573,45.88983142776561,514.2100268572774,-58.7899731427226
浙江2025,568,49.156596446315056,509.7422672682471,-58.257732731752924
浙江2025,563,52.48573536111773,505.2184588049837,-57.7815411950163
浙江2025,558,55.82680667346451,500.87956560850006,-57.12043439149994
浙江2025,553,59.11147028833012,496.5626942543797,-56.43730574562028
浙江2025,548,62.501898335972925,492.44766253599295,-55.55233746400705
浙江2025,543,65.8549020458638,488.33954454449025,-54.66045545550975
浙江2025,538,69.26322868982275,484.00767510213024,-53.992324897869764
浙江2025,533,72.56579090100449,479.86865805358866,-53.13134194641134
浙江2025,528,75.90198077799232,475.33495174261316,-52.66504825738684
浙江2025,523,79.15355910875837,471.00520252132645,-51.99479747867355
浙江2025,518,82.46208751871217,466.98891275971044,-51.011087240289555
浙江2025,513,85.71258108606513,462.7500150534712,-50.2499849465288
浙江2025,508,88.89527694009936,458.4615358665098,-49.53846413349021
浙江2025,503,92.05139609051265,454.0582422250734,-48.9417577749266
浙江2025,498,95.16141279586921,449.7392439571156,-48.260756042884395
浙江2025,493,98.23183563664765,445.48195306114286,-47.51804693885714
河北2026物理,701,0.014320854533814063,690.4951376486841,-10.504862351315865
河北2026物理,696,0.03159012029517809,687.1625067993973,-8.837493200602694
河北2026物理,691,0.06360144219429187,684.0521616066314,-6.947838393368556
河北2026物理,686,0.12046365872561242,679.9608499126308,-6.039150087369194
河北2026物理,681,0.20175556828520405,675.7948569797566,-5.20514302024344
河北2026物理,676,0.3281160494659164,671.1506845322932,-4.849315467706788
河北2026物理,671,0.49027866698116385,666.4656069119699,-4.534393088030129
河北2026物理,666,0.7147791218788961,661.5551959192564,-4.444804080743552
河北2026物理,661,1.0197290831283485,656.1293511219717,-4.870648878028305
河北2026物理,656,1.3579539710887218,651.2972963968238,-4.702703603176246
河北2026物理,651,1.8170637193786434,646.4817555887071,-4.518244411292926
河北2026物理,646,2.316187620042457,642.0836226929501,-3.9163773070498564
河北2026物理,641,2.9138726960272265,637.3782823639278,-3.6217176360721623
河北2026物理,636,3.640866664420258,632.7039731754088,-3.296026824591195
河北2026物理,631,4.51401758937898,627.5455701148203,-3.4544298851797066
河北2026物理,626,5.459193988610709,622.4940279994404,-3.505972000559609
河北2026物理,621,6.5362064898743135,617.4590425916706,-3.5409574083294046
河北2026物理,616,7.757269939683931,612.151603067143,-3.8483969328569856
河北2026物理,611,9.08489739528928,607.1827295219417,-3.8172704780582762
河北2026物理,606,10.52835529197695,601.9306298508385,-4.0693701491615
河北2026物理,601,12.07711358964855,596.792485254765,-4.207514745235017
河北2026物理,596,13.776240859925196,591.2276689971453,-4.772331002854685
河北2026物理,591,15.623631094787207,585.6489851212077,-5.351014878792284
河北2026物理,586,17.57042490817805,580.0183310657252,-5.981668934274808
河北2026物理,581,19.65200323482832,574.4054876364684,-6.594512363531635
河北2026物理,576,21.87847491323247,568.4921681369659,-7.507831863034085
河北2026物理,571,24.212774202244162,562.4549633068738,-8.545036693126235
河北2026物理,566,26.641422650537454,556.5226672559169,-9.477332744083128
河北2026物理,561,29.245712167671932,550.4610198206487,-10.538980179351256
河北2026物理,556,31.941402432860468,544.3010092845042,-11.698990715495825
河北2026物理,551,34.76640159045726,537.8615052356869,-13.138494764313123
河北2026物理,546,37.68153789129629,531.4956968092232,-14.504303190776795
河北2026物理,541,40.682178117734274,525.3078383098917,-15.692161690108264
河北2026物理,536,43.79443676921522,519.0015456822496,-16.99845431775043
河北2026物理,531,46.93365232334805,512.5823236057236,-18.41767639427644
河北2026物理,526,50.09771877211308,506.2806529968695,-19.71934700313051
河北2026物理,521,53.249991575967925,500.1721630833147,-20.827836916685328
河北2026物理,516,56.47428985409576,494.03329998280634,-21.96670001719366
